"","ID","title","description","streetaddress","city","state","amenityfeatures","type","notes","dateadded","lastmodified","Year","full.address","lon","lat","geoAddress","Status"
"69",150,"Continental","","111 W Tazewell","Norfolk","VA","(*) - Very popular","Bars/Clubs",NA,"8/19/2019 12:56am","9/7/2019 2:21pm",1965,"111 W Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"70",499,"Continental","","111 W. Tazewell","Norfolk","VA","(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent,(*) - Very popular","Bars/Clubs",NA,"10/1/2019 5:02pm","10/28/2019 9:41am",1973,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"71",666,"Continental","","111 W. Tazewell","Norfolk","VA","""(RT) - 'Raunchy types' - Hustlers, drags and other downtown type places - often hustlers"",(B) - Blacks frequent,(*) - Very popular","Restaurant",NA,"11/8/2019 12:41pm","11/8/2019 1:32pm",1976,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"72",863,"Continental","(Some RT)","111 W. Tazewell","Norfolk","VA","(D) - Dancing,(B) - Blacks frequent,(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","","10/25/2019 8:12pm","12/18/2019 2:57pm",1979,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"73",542,"Continental","","111 West Tazewell","Norfolk","VA","(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent,(*) - Very popular","Bars/Clubs","","9/7/2019 10:27am","9/7/2019 11:09am",1974,"111 West Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"74",856,"Continental","(Some RT, B)","111 W. Tazewell","Norfolk","VA","(D) - Dancing,(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent","Bars/Clubs","","12/6/2019 11:54am","12/16/2019 3:20pm",1978,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"75",205,"Continental","","111 W Tazewell","Norfolk","VA","(*) - Very popular","Bars/Clubs",NA,"8/23/2019 1:56am","9/7/2019 11:23am",1968,"111 W Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"76",257,"Continental","","111 W Tazewell","Norfolk","VA","(*) - Very popular","Bars/Clubs",NA,"8/13/2019 2:17pm","8/13/2019 2:50pm",1969,"111 W Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"77",874,"Continental","(occassional shows)","111 W. Tazewell","Norfolk","VA","(B) - Blacks frequent,""(RT) - 'Raunchy types' - Hustlers, drags and other downtown type places - often hustlers"",(*) - Very popular","Restaurant","Should I add the shows amenity? p.144","12/17/2019 9:53am","12/17/2019 9:53am",1975,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"78",1002,"Continental","(Some RT)","111 W. Tazewell","Norfolk","VA","(D) - Dancing,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent","Bars/Clubs","","12/6/2019 6:15pm","12/7/2019 11:43am",1980,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"79",221,"Continental","","111 W. Tazewell","Norfolk","VA","(*) - Very popular","Bars/Clubs",NA,"8/13/2019 7:57am","9/7/2019 11:22am",1966,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"80",280,"Continental","","111 W. Tazewell","Norfolk","VA","(*) - Very popular","Bars/Clubs",NA,"9/8/2019 12:00am","9/8/2019 12:12am",1970,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"81",737,"Occidental","","209 Granby Street","Norfolk","VA","(M) - Mixed - Some Straights,(B) - Blacks frequent,(RT) - 'Raunchy types' - downtown type places - often hustlers,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Bars/Clubs",NA,"11/8/2019 8:19pm","11/10/2019 2:21pm",1977,"209 Granby Street, Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa","Google Verified Location"
"82",867,"Occidental","","209 Granby St.","Norfolk","VA","(M) - Mixed - Some Straights,(B) - Blacks frequent,(RT) - 'Raunchy types' - downtown type places - often hustlers,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Restaurant","","10/25/2019 8:12pm","10/28/2019 9:54am",1979,"209 Granby St., Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa","Google Verified Location"
"83",673,"Occidental","","209 Granby St.","Norfolk","VA","(M) - Mixed or partially straight,(B) - Blacks frequent,""(RT) - 'Raunchy types' - Hustlers, drags and other downtown type places - often hustlers"",""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Restaurant",NA,"11/8/2019 12:58pm","11/8/2019 1:32pm",1976,"209 Granby St., Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa","Google Verified Location"
"84",548,"Occidental","(after hours)","209 Granby St.","Norfolk","VA","(M) - Mixed Crowds,""(C) - Coffee, soft drinks and sometimes snacks"",(RT) - 'Raunchy types' - downtown type places - often hustlers","Restaurant","","9/7/2019 10:27am","9/7/2019 11:07am",1974,"209 Granby St., Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa","Google Verified Location"
"85",868,"Occidental","","209 Granby","Norfolk","VA","(M) - Mixed or partially straight,""(C) - Coffee, soft drinks and sometimes snacks"",""(RT) - 'Raunchy types' - Hustlers, drags and other downtown type places - often hustlers"",(AH) - After Hours","Restaurant","","12/17/2019 9:53am","12/17/2019 9:53am",1975,"209 Granby, Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa","Google Verified Location"
"86",505,"Occidental","(after hours)","209 Granby St.","Norfolk","VA","(M) - Mixed Crowds,""(C) - Coffee, soft drinks and sometimes snacks"",(RT) - 'Raunchy types' - downtown type places - often hustlers","Restaurant",NA,"10/1/2019 5:02pm","10/5/2019 1:09pm",1973,"209 Granby St., Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa","Google Verified Location"
"87",860,"Occidental","","209 Granby St.","Norfolk","VA","(M) - Mixed - Some Straights,(B) - Blacks frequent,(RT) - 'Raunchy types' - downtown type places - often hustlers,""(C) - Coffee, soft drinks, juices and snacks"",(AH) - After Hours","Bars/Clubs,Restaurant","","12/6/2019 11:54am","12/16/2019 1:58pm",1978,"209 Granby St., Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa","Google Verified Location"
"88",551,"Village Books","","121 Brooke Ave.","Norfolk","VA","","Book Store","","9/7/2019 10:27am","9/7/2019 11:07am",1974,"121 Brooke Ave., Norfolk, VA",-76.2917918,36.8487563,"121 brooke ave, norfolk, va 23510, usa","Google Verified Location"
"89",664,"Boulevard Books","","121 Brooke Ave","Norfolk","VA","","Book Store",NA,"11/8/2019 12:41pm","11/8/2019 1:32pm",1976,"121 Brooke Ave, Norfolk, VA",-76.2917918,36.8487563,"121 brooke ave, norfolk, va 23510, usa","Google Verified Location"
"90",732,"Boulevard Books","","121 Brooke Avenue","Norfolk","VA","","Book Store",NA,"11/8/2019 8:19pm","11/10/2019 1:46pm",1977,"121 Brooke Avenue, Norfolk, VA",-76.2917918,36.8487563,"121 brooke ave, norfolk, va 23510, usa","Google Verified Location"
"91",868,"Ritz Bar","(Some W, SM) (WE*)","131 Brooke Ave.","Norfolk","VA","(W) - Western or coyboy types,(WE) - Weekends,(*) - Very popular,""(SM) - Some motorcycle. Don't confuse with 'M-S,' which means mixed crowds - shows. ""","Bars/Clubs","","10/25/2019 8:12pm","12/18/2019 2:57pm",1979,"131 Brooke Ave., Norfolk, VA",-76.2918859,36.8487805,"131 brooke ave, norfolk, va 23510, usa","Google Verified Location"
