ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
154,Mr. D's,,600 Dauphine St.,New Orleans,LA,"""(G) - Girls, but rarely exclusively"",(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 10:53pm
155,Mom's Society Page,,819 St. Louis St.,New Orleans,LA,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 10:53pm
156,Pete's Place,,900 Bourbon St.,New Orleans,LA,(*) - Very popular,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 10:53pm
158,Speakeasy,,834 N. Rampart,New Orleans,LA,"(M) - Mixed Crowds,(S) - Shows - impersonators or record pantomime acts - often touristy",Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 10:53pm
159,Wanda's,,608 Iberville,New Orleans,LA,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 10:53pm
160,Bobby's Korner,,800 Louisiana,Shreveport,LA,(*) - Very popular,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 10:53pm
161,Western Hill Motel Bar,,3515 E. Texas (Bosier City),Shreveport,LA,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs,Hotels",,,9/7/2019 2:02pm,12/7/2019 2:03pm
164,Mirror Room,,710 Central Beach Blvd.,Biloxi,MS,(M) - Mixed Crowds,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 10:58pm
168,Tempo,,159 E. 4th St.,Chapel Hill,NC,"(*) - Very popular,(YC) - Young and/or collegiate types",Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
169,Barringer Inn Bar,,426 N. Tyson,Charlotte,NC,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,9/7/2019 2:02pm,12/7/2019 2:04pm
172,Stein Room ,Holiday Inn,422 Eastern Blvd,Fayetteville,NC,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,9/7/2019 2:02pm,12/7/2019 2:04pm
173,General Greene Bar,,253 N. Green St.,Greensboro,NC,,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
176,Sand Bar,,19 S. 2nd St.,Wilmington,NC,(M) - Mixed Crowds,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
179,Wagon Wheel,,330 King St.,Charleston,SC,,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
181,The Lounge,,1103 Lady St.,Columbia,SC,"(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
182,Horseshoe Lounge,,443 E. Stone,Greenville,SC,,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
183,Beach Towel,,403 1st Ave. N.,Myrtle Beach,SC,,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
184,Pizza Palace,,3101 Brainerd Rd,Chattanooga,TN,,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
185,Rathskeller,,618 Cherry,Chattanooga,TN,,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
188,Andrew Jackson Hotel Bar,,918 Gay St. S.W.,Knoxville,TN,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,9/7/2019 2:02pm,12/7/2019 2:02pm
189,Brownie's Grill,,2218 Cumberland Ave.,Knoxville,TN,,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
190,Five-O-Nine Club,,509 Church Ave. S.W. ,Knoxville,TN,,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
191,Famous Door Lounge,,1786 Madison Ave.,Memphis,TN,"""(G) - Girls, but rarely exclusively""",Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
192,Entree Nuit,,265 So. Cleveland,Memphis,TN,"(*) - Very popular,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/7/2019 2:02pm,9/7/2019 11:16pm
193,Frank's Shobar,,233 So. Bellevue,Memphis,TN,"(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
194,Psyche Out,,239 S. Bellevue,Memphis,TN,(YC) - Young and/or collegiate types,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
195,Hi Hat Lounge,,604 Commerce,Nashville,TN,(M) - Mixed Crowds,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
196,Juanita's,,713 Commerce,Nashville,TN,(*) - Very popular,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
197,Jungle Lounge,(best after midnight),715 Commerce,Nashville,TN,(*) - Very popular,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
198,Back Door Lounge,,408 E. 10th St.,Amarillo,TX,(*) - Very popular,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
199,Apartment Bar,"(no neon, looks like private house)",2828 Rio Grande,Austin,TX,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
200,Jade Lounge,,1501 San Jacinto,Austin,TX,(M) - Mixed Crowds,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 11:59pm
202,Plantation,(After hours),503 W. 19th St.,Austin,TX,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/7/2019 2:03pm,9/7/2019 11:17pm
